k,rmse_knn
1.0,12.690284390403493
2.0,11.908136600709467
3.0,11.704641495630666
4.0,11.593884955843153
5.0,11.652957724512522
6.0,11.734999062616273
7.0,11.863631210784046
8.0,11.919809754532157
9.0,11.991189999224813
10.0,12.034547043795902
11.0,12.125054145989012
12.0,12.159610280591147
13.0,12.17695636918564
14.0,12.204097431672043
15.0,12.241791445411092
16.0,12.271506645060219
17.0,12.296355791326986
18.0,12.354140039026934
19.0,12.399593322147464
20.0,12.420976777747304
